Country,City_ID,Population
PS,281102,126305
PS,281109,36123
PS,281124,173183
PS,281129,168568
PS,281133,410000
PS,281141,59504
PS,281145,56919
PS,281146,37392
PS,281148,31272
PS,281161,34951
PS,281165,18163
IL,281184,714000
PS,281292,41425
PS,281577,44169
PS,281581,15591
PS,281793,17775
PS,282239,24599
PS,282457,43212
PS,282476,19127
PS,282615,130326
PS,283506,34730
PS,283621,18727
PS,283806,21076
PS,284011,20835
PS,284315,29019
PS,284324,16183
PS,284431,19783
PS,284446,17146
PS,284486,27616
PS,284583,19355
PS,284890,24838
PS,284899,19783
PS,284999,16164
PS,285066,160470
PS,285108,38192
PS,285111,17455
KW,285603,18496
KW,285663,30635
KW,285704,147649
KW,285728,52068
KW,285778,39025
KW,285782,18178
KW,285787,60064
KW,285799,24281
KW,285811,68290
KW,285812,23071
KW,285815,86525
KW,285856,17585
OM,286245,71152
OM,286282,108274
OM,286293,47718
OM,286402,48009
OM,286621,163140
OM,286647,89327
OM,286987,72076
OM,287286,797000
OM,287614,17904
OM,287814,36203
OM,287830,101640
OM,287832,25265
OM,288721,21188
OM,288764,159487
OM,288789,81647
OM,288899,54338
OM,288902,18479
OM,288955,107143
OM,288967,237816
OM,289011,79383
OM,289174,26372
OM,289199,50223
OM,289317,73670
OM,289433,17283
QA,289523,29391
QA,289888,272465
QA,289915,26436
QA,289962,18923
QA,290030,344939
BH,290104,37657
BH,290187,38090
BH,290215,31735
BH,290247,52718
BH,290269,65466
BH,290332,97458
BH,290340,147074
AE,290594,44411
AE,291074,115949
AE,291696,33575
AE,292223,1137347
AE,292239,26395
AE,292672,543733
AE,292688,16000
AE,292878,62415
AE,292913,408733
AE,292932,226172
AE,292953,24716
AE,292968,603492
IL,293100,27816
IL,293222,31774
IL,293253,100000
IL,293286,41030
IL,293308,18993
IL,293322,39790
IL,293397,250000
IL,293420,21400
IL,293426,25917
IL,293619,20228
IL,293655,24596
IL,293690,39215
IL,293703,220492
IL,293768,63860
IL,293783,36137
IL,293788,128095
IL,293822,37639
IL,293825,22035
IL,293831,39404
IL,293842,47450
IL,293844,36551
IL,293845,48966
IL,293896,16898
IL,293962,30802
IL,293992,24311
IL,294068,24564
IL,294071,171676
IL,294074,38700
IL,294078,21245
IL,294098,64800
IL,294117,50273
IL,294210,24800
IL,294244,27267
IL,294387,18915
IL,294421,66589
IL,294514,80773
IL,294577,44382
IL,294604,17303
IL,294608,15014
IL,294610,17606
IL,294622,17530
IL,294751,165787
IL,294760,43185
IL,294778,83600
IL,294801,267300
IL,294946,75854
IL,294981,18500
IL,294999,48000
IL,295127,20786
IL,295130,32978
IL,295174,15621
IL,295277,45588
IL,295328,33558
IL,295365,25000
IL,295432,67100
IL,295435,16800
IL,295514,144663
IL,295530,186600
IL,295548,128979
IL,295620,105995
IL,295629,224656
IL,295721,45603
IL,295739,40000
TR,296173,71729
TR,296562,87881
TR,296832,32072
TR,296852,26316
TR,296895,35294
TR,297090,26000
TR,297564,19020
TR,297789,39145
TR,297917,25019
TR,298033,154163
TR,298088,18691
TR,298117,371713
TR,298230,39591
TR,298299,152862
TR,298316,45199
TR,298326,16642
TR,298333,449549
TR,298806,103292
TR,298846,29062
TR,298935,50303
TR,299137,47220
TR,299445,20000
TR,299545,52182
TR,299582,73222
TR,299817,256482
TR,299900,36890
TR,300058,24816
TR,300075,46694
TR,300352,62862
TR,300371,65934
TR,300377,15303
TR,300399,68230
TR,300614,175341
TR,300619,264022
TR,300640,52743
TR,300791,34909
TR,300796,65956
TR,300797,74798
TR,300808,75315
TR,300822,114034
TR,301010,51089
TR,301101,36925
TR,301116,44101
TR,301172,15919
TR,301209,18978
TR,301256,29101
TR,301350,19596
TR,301537,23800
TR,301539,32771
TR,301827,18937
TR,301911,42981
TR,302043,88906
TR,302355,56995
TR,302525,93262
TR,302800,23850
TR,302819,87451
TR,302824,24553
TR,303195,202837
TR,303290,31144
TR,303354,19741
TR,303700,67153
TR,303750,88977
TR,303798,82308
TR,303827,91039
TR,303831,75527
TR,303873,119370
TR,304013,49397
TR,304081,82536
TR,304184,48183
TR,304196,16522
TR,304355,43193
TR,304382,76268
TR,304531,537842
TR,304612,53489
TR,304782,33731
TR,304797,71373
TR,304827,243971
TR,304854,96052
TR,304916,26108
TR,304922,441805
TR,305089,16336
TR,305268,185008
TR,305359,63177
TR,305532,32114
TR,305680,30339
TR,305742,47037
TR,305750,26569
TR,305810,31100
TR,306041,29502
TR,306112,88115
TR,306207,22976
TR,306474,20465
TR,306571,875530
TR,307084,150174
TR,307211,17169
TR,307515,94336
TR,307623,27053
TR,307654,211138
TR,307657,60916
TR,307864,82301
TR,308024,49679
TR,308220,17300
TR,308224,30411
TR,308464,592840
TR,309415,49509
TR,309527,120399
TR,309647,92022
TR,309663,29735
TR,310004,20467
TR,310641,28605
TR,310855,73105
TR,310859,376045
TR,310892,70248
TR,310907,15301
TR,311046,2500603
TR,311073,172334
